1;2025-02-9;entregado;2368;15:9,37:19,151:10,434:20,540:5,649:20,661:17,765:19,892:1;Calle Mayor 153;38204
2;2025-03-23;entregado;2490;253:20,463:9,908:5,979:8;Calle Real 92;34545
3;2025-01-29;entregado;1171;116:5,222:18,344:19,603:18,712:7,852:11;Plaza Libertad 37;18728
4;2025-02-19;entregado;264;864:2;Calle Jardin 67;46594
5;2025-03-21;entregado;1783;151:1,617:11;Avenida de Espana 5;21946
6;2025-04-4;entregado;893;269:3,447:17;Paseo del Prado 33;32198
7;2025-03-3;entregado;292;12:15,1000:6;Calle Jardin 68;23959
8;2025-05-8;preparando;1502;46:3,130:16,249:13,976:2;Calle Real 6;23106
9;2025-03-25;entregado;2355;14:10,194:9,231:14,687:6;Avenida de Espana 134;40199
10;2025-04-11;entregado;1025;281:7,322:13;Avenida Sol 124;38010
11;2025-03-30;entregado;2022;21:13,88:2,91:20,180:11,337:16,454:9,498:7,586:7,969:10;Calle Estrella 96;13325
12;2025-03-23;entregado;2230;206:13;Avenida de Espana 168;50315
13;2025-03-25;entregado;1432;135:4;Calle Estrella 186;35972
14;2025-04-21;entregado;2112;89:10,212:18,275:15,680:4,833:10;Calle Luna 163;46139
15;2025-04-5;entregado;1974;166:4,179:11,226:5,589:11;Calle Jardin 5;39031
16;2025-03-21;entregado;938;6:19;Avenida Sol 192;2611
17;2025-02-21;entregado;421;42:8,145:16,173:16,302:20,343:18,350:20,684:1,837:6,930:17,936:13;Camino Viejo 156;3444
18;2025-02-4;entregado;1358;473:17,528:7,545:1,889:14;Calle Luna 25;27715
19;2025-04-11;entregado;1051;4:7,168:1,294:11,482:1,571:4,856:5,920:18;Paseo del Prado 187;35480
20;2025-05-11;preparando;1449;141:13,294:20,426:11,427:6,483:10,527:6;Calle Estrella 178;20318
21;2025-04-6;entregado;929;338:1,768:20;Camino Viejo 151;27651
22;2025-01-19;entregado;200;152:17,178:5,695:14;Calle Estrella 12;48174
23;2025-04-2;entregado;338;35:14,562:12,741:14,870:15,896:2,991:6;Calle Estrella 171;51097
24;2025-05-22;procesando solicitud;2185;69:18,261:20,719:6;Avenida Sol 75;44139
25;2025-04-28;en reparto;1597;353:6,627:2,700:4;Calle Jardin 58;23979
26;2025-02-7;entregado;1666;69:4,119:15,185:10,235:15,287:8,686:16,894:12,908:4;Calle Jardin 47;35981
27;2025-04-25;en reparto;1924;194:9,293:12,367:8,522:14,729:7,858:19;Camino Viejo 185;22197
28;2025-05-22;procesando solicitud;1593;284:14,479:2,639:14,771:2,859:12,932:20,993:8;Camino Viejo 101;22798
29;2025-05-1;en reparto;1495;90:3,355:18,388:8,645:19,659:1,667:6,704:20,838:20,864:19,944:16;Calle Estrella 178;14109
30;2025-03-9;entregado;1618;369:10,447:13,496:18,532:13;Avenida de Espana 183;37621
31;2025-03-15;entregado;962;122:3,197:10,593:2,728:6,881:4,882:17,950:1;Paseo del Prado 64;17332
32;2025-04-5;entregado;2179;903:9;Calle Mayor 200;31514
33;2025-01-10;entregado;893;339:3;Calle Jardin 141;30547
34;2025-01-13;entregado;2108;18:1,80:11,180:14,204:11,308:16,354:14,547:6,572:7,657:11,721:6;Avenida Sol 95;50705
35;2025-03-20;entregado;458;5:7,669:5,710:10,935:20;Calle Estrella 183;14884
36;2025-04-29;en reparto;1110;2:3,21:4,214:11;Avenida de Espana 69;38738
37;2025-02-14;entregado;1607;67:6,320:12,336:17,425:10,471:8,564:8,851:19,916:1,967:16;Avenida Sol 81;35438
38;2025-01-2;entregado;1072;103:2,223:10,256:2,442:16,652:4,843:10,941:18,986:18;Avenida de Espana 103;39683
39;2025-01-11;entregado;2022;153:17,718:2,859:14;Calle Estrella 27;10408
40;2025-04-2;entregado;1536;221:2;Calle Luna 77;36561
41;2025-01-16;entregado;898;9:9,21:19,360:2,687:19,792:6,833:13,876:8;Paseo del Prado 73;7974
42;2025-01-20;entregado;240;43:6;Calle Mayor 45;41491
43;2025-02-13;entregado;2436;128:6,391:8,903:16;Camino Viejo 4;23956
44;2025-02-17;entregado;975;29:4,101:14,119:12,157:7,222:8,334:19,363:1,521:8,618:20,883:5;Camino Viejo 54;9103
45;2025-05-8;preparando;2090;39:5,112:18,149:12,192:8,385:14,605:11,607:17,647:13,946:10;Paseo del Prado 137;47673
46;2025-02-20;entregado;655;95:1,459:7,472:16,737:4;Calle Mayor 114;41673
47;2025-03-6;entregado;1573;154:4,384:17,503:14,589:8,595:11,607:6,785:3,879:10,901:14,999:9;Plaza Libertad 16;5427
48;2025-01-25;entregado;2236;168:5,197:5,255:7,526:17,606:14,929:4,989:7;Plaza Libertad 74;11229
49;2025-03-1;entregado;1965;210:1,211:13,276:17,304:7,408:8,562:2,598:2,678:2,943:5,1000:10;Calle Mayor 175;23145
50;2025-01-30;entregado;1008;355:6,463:9,621:6;Calle Mayor 198;1418
51;2025-04-14;entregado;1159;6:15,145:7,223:6,252:10,290:9,365:2,497:10,651:1,654:17,694:17;Calle Real 50;29595
52;2025-03-24;entregado;1144;408:18,496:19,714:7;Calle Estrella 96;3882
53;2025-01-20;entregado;2423;331:7,473:1,518:17,602:13,685:6,767:13,918:12;Avenida de Espana 155;17927
54;2025-05-18;procesando solicitud;2252;180:15,288:2,684:17,757:1,796:18,839:17,868:10,956:15,979:10,986:9;Avenida de Espana 16;23812
55;2025-03-25;entregado;1858;160:4,467:18,568:4,569:7,804:7,864:14,873:11,883:1;Avenida de Espana 67;48931
56;2025-04-21;entregado;2257;441:4;Calle Jardin 173;45322
57;2025-01-14;entregado;2451;5:7,14:18,126:14,137:15,424:6,672:1,712:17,898:9;Camino Viejo 36;13064
58;2025-03-4;entregado;255;58:5,361:1,776:1,838:14;Calle Real 121;9752
59;2025-02-5;entregado;2290;90:9,203:2,584:10,801:1,888:1,988:3;Plaza Libertad 175;50940
60;2025-01-17;entregado;1509;56:15,69:16,141:13,254:3,302:1,399:13,736:2,769:4,782:15;Plaza Libertad 188;13332
61;2025-05-9;preparando;1935;48:18,852:17;Calle Mayor 115;3510
62;2025-04-8;entregado;1826;24:19,79:5,96:5,183:17,354:20,358:6,376:13,513:19,551:6;Calle Mayor 175;40242
63;2025-02-3;entregado;566;129:19,352:7,452:4,468:12,511:5,554:19,660:3,775:6,806:20,890:10;Calle Mayor 71;8637
64;2025-02-24;entregado;1317;25:20,137:7,465:18,513:17,695:12,796:5,862:1,924:1;Calle Real 197;46280
65;2025-01-26;entregado;1723;264:11,588:4,632:7,766:18,831:18,833:20;Paseo del Prado 147;25312
